tanggal,komoditas,satuan,harga_lama,harga_sekarang,selisih,persen
2024-01-01,BERAS MERAH,Kg,12500,13000,500,4.00
2024-01-02,BERAS MERAH,Kg,13000,12800,-200,-1.54
2024-01-03,BERAS MERAH,Kg,12800,13200,400,3.12
2024-01-04,BERAS MERAH,Kg,13200,13100,-100,-0.76
2024-01-05,BERAS MERAH,Kg,13100,13500,400,3.05
2024-01-06,BERAS MERAH,Kg,13500,13300,-200,-1.48
2024-01-07,BERAS MERAH,Kg,13300,13700,400,3.01
2024-01-08,BERAS MERAH,Kg,13700,13600,-100,-0.73
2024-01-09,BERAS MERAH,Kg,13600,14000,400,2.94
2024-01-10,BERAS MERAH,Kg,14000,13800,-200,-1.43
2024-01-01,GULA PASIR,Kg,14500,14800,300,2.07
2024-01-02,GULA PASIR,Kg,14800,14700,-100,-0.68
2024-01-03,GULA PASIR,Kg,14700,15000,300,2.04
2024-01-04,GULA PASIR,Kg,15000,14900,-100,-0.67
2024-01-05,GULA PASIR,Kg,14900,15200,300,2.01
2024-01-06,GULA PASIR,Kg,15200,15100,-100,-0.66
2024-01-07,GULA PASIR,Kg,15100,15400,300,1.99
2024-01-01,MINYAK GORENG 1L,Liter,18500,19000,500,2.70
2024-01-02,MINYAK GORENG 1L,Liter,19000,18800,-200,-1.05
2024-01-03,MINYAK GORENG 1L,Liter,18800,19200,400,2.13
2024-01-04,MINYAK GORENG 1L,Liter,19200,19100,-100,-0.52
2024-01-05,MINYAK GORENG 1L,Liter,19100,19500,400,2.09
2024-01-06,MINYAK GORENG 1L,Liter,19500,19300,-200,-1.03
2024-01-07,MINYAK GORENG 1L,Liter,19300,19700,400,2.07
2024-01-01,DAGING AYAM,Kg,38000,38500,500,1.32
2024-01-02,DAGING AYAM,Kg,38500,38200,-300,-0.78
2024-01-03,DAGING AYAM,Kg,38200,38700,500,1.31
2024-01-04,DAGING AYAM,Kg,38700,38400,-300,-0.77
2024-01-05,DAGING AYAM,Kg,38400,38900,500,1.30
2024-01-06,DAGING AYAM,Kg,38900,38600,-300,-0.77
2024-01-07,DAGING AYAM,Kg,38600,39100,500,1.30

