tanggal,komoditas,satuan,harga_lama,harga_sekarang,selisih,persen
2021-01-01,BERAS,,0,0,,
2021-01-01,-Beras Premium,kg,15120,15120,0,"0,00%"
2021-01-01,-Beras Medium,kg,12020,12020,0,"0,00%"
2021-01-01,GULA,,0,0,,
2021-01-01,-Gula Kristal Putih,kg,16700,16700,0,"0,00%"
2021-01-01,MINYAK GORENG,,0,0,,
2021-01-01,-Minyak Goreng Curah,kg,19440,19440,0,"0,00%"
2021-01-01,-Minyak Goreng Kemasan Premium,1 liter,21500,21500,0,"0,00%"
2021-01-01,-Minyak Goreng Kemasan Sederhana,1 Liter,18625,18625,0,"0,00%"
2021-01-01,-Minyak Goreng MINYAKITA,1 Liter,15700,15700,0,"0,00%"
2021-01-01,DAGING,,0,0,,
2021-01-01,-Daging Sapi Paha Belakang,kg,123000,123000,0,"0,00%"
2021-01-01,-Daging Ayam Ras,kg,36600,36600,0,"0,00%"
2021-01-01,-Daging Ayam Kampung,ekor,58333,58333,0,"0,00%"
2021-01-01,TELUR AYAM,,0,0,,
2021-01-01,-Telur Ayam Ras,kg,28800,28800,0,"0,00%"
2021-01-01,-Telur Ayam Kampung,kg,42600,42600,0,"0,00%"
2021-01-01,SUSU,,0,0,,
2021-01-01,-Susu Kental Manis Merk Bendera,370 gr/kl,12125,12125,0,"0,00%"
2021-01-01,-Susu Kental Manis Merk Indomilk,370 gr/kl,12000,12000,0,"0,00%"
2021-01-01,SUSU BUBUK,,0,0,,
2021-01-01,-Susu Bubuk Merk Bendera (Instant),400 gr/dos,40500,40500,0,"0,00%"
2021-01-01,-Susu Bubuk Merk Indomilk (Instant),400 gr/dos,40000,40000,0,"0,00%"
2021-01-01,-Jagung Pipilan Kering,kg,7375,7375,0,"0,00%"
2021-01-01,GARAM BERYODIUM,,0,0,,
2021-01-01,-Bata,Buah,1000,1000,0,"0,00%"
2021-01-01,-Halus,kg,9000,9000,0,"0,00%"
2021-01-01,TEPUNG TERIGU,,0,0,,
2021-01-01,-Terigu Protein Sedang (Kemasan),kg,12000,12000,0,"0,00%"
2021-01-01,-Kedelai Impor,kg,11600,11600,0,"0,00%"
2021-01-01,-Kedelai Lokal,kg,0,0,-,-
2021-01-01,-Indomie Rasa Kari Ayam,Bungkus,2975,2975,0,"0,00%"
2021-01-01,-Cabe Merah Keriting,kg,28000,28000,0,"0,00%"
2021-01-01,-Cabe Merah Besar,kg,30400,30400,0,"0,00%"
2021-01-01,-Cabe Rawit Merah,kg,99600,98600,-1000,"-1,00%"
2021-01-01,BAWANG,,0,0,,
2021-01-01,-Bawang Merah,kg,38400,38400,0,"0,00%"
2021-01-01,-Bawang Putih Sinco/Honan,kg,30600,30600,0,"0,00%"
2021-01-01,-Ikan Asin Teri,kg,110000,110000,0,"0,00%"
2021-01-01,-KACANG HIJAU,kg,26400,26400,0,"0,00%"
2021-01-01,-KACANG TANAH,kg,33200,32800,-400,"-1,20%"
2021-01-01,-KETELA POHON,kg,3375,3375,0,"0,00%"
2021-01-01,-KOL/KUBIS,kg,8200,8200,0,"0,00%"
2021-01-01,-KENTANG,kg,13600,13600,0,"0,00%"
2021-01-01,-Tomat Merah,kg,8800,8800,0,"0,00%"
2021-01-01,-WORTEL,kg,9800,9800,0,"0,00%"
2021-01-01,-BUNCIS,kg,10800,10800,0,"0,00%"
2021-01-01,-Semen Gresik,40 Kg,57000,57000,0,"0,00%"
2021-01-01,-Semen Tiga Roda,40 Kg,46000,46000,0,"0,00%"
2021-01-01,-Semen Padang,40 Kg,41000,41000,0,"0,00%"
2021-01-01,-Semen Tonasa,40 Kg,0,0,-,-
2021-01-01,-Semen Bosowa,40 Kg,47000,47000,0,"0,00%"
